scientific_name
Alopochen aegyptiaca
Zonotrichia albicollis
Contopus pertinax
Picoides arcticus
Spizella pallida
Calcarius lapponicus
Aeronautes saxatalis
Spizella passerina
Mergus serrator
Rhynchophanes mccownii
Mimus polyglottos
Poecile carolinensis
Rallus limicola
Cyanocorax yncas
Phasianus colchicus
Tringa flavipes
Polioptila melanura
Anser canagicus
Tympanuchus phasianellus
Elanus leucurus
Zonotrichia leucophrys
Nycticorax nycticorax
Porzana carolina
Columbina passerina
Passer montanus
Setophaga palmarum
Toxostoma redivivum
Passerculus sandwichensis
Dendrocygna bicolor
Spinus lawrencei
Calidris himantopus
Progne subis
Leucophaeus atricilla
Setophaga pinus
Cairina moschata
Tyrannus crassirostris
Leucosticte tephrocotis
Pandion haliaetus
Melozone aberti
Numenius tahitiensis
Spizella breweri
Myiopsitta monachus
Spatula clypeata
Cathartes aura
Catharus fuscescens
Gallinula galeata
Vireo flavifrons
Calothorax lucifer
Aramus guarauna
Rallus obsoletus
Coragyps atratus
Spiza americana
Anser albifrons
Oreortyx pictus
Cardellina pusilla
Protonotaria citrea
Archilochus alexandri
Accipiter gentilis
Sphyrapicus varius
Phalacrocorax carbo
Calidris canutus
Lanius ludovicianus
Bonasa umbellus
Podiceps grisegena
Tachybaptus dominicus
Mareca americana
Corvus ossifragus
Tyrannus dominicensis
Vireo altiloquus
Falco columbarius
Myadestes townsendi
Phylloscopus borealis
Psiloscops flammeolus
Melanerpes carolinus
Pelecanus occidentalis
Sphyrapicus thyroideus
Icterus parisorum
Troglodytes pacificus
Setophaga pensylvanica
Baeolophus atricristatus
Buteo lineatus
Limnothlypis swainsonii
Selasphorus calliope
Gavia pacifica
Fulica americana
Vireo plumbeus
Passer domesticus
Calidris melanotos
Tyrannus verticalis
Bubo virginianus
Myioborus pictus
Larus argentatus
Perdix perdix
Coccyzus erythropthalmus
Leptotila verreauxi
Aphelocoma californica
Vireo huttoni
Megaceryle torquata
Piranga rubra
Callipepla squamata
Myiodynastes luteiventris
Leiothlypis luciae
Aythya marila
Larus hyperboreus
Dendragapus obscurus
Acanthis flammea
Piranga ludoviciana
Plegadis falcinellus
Amazona viridigenalis
Gavia immer
Empidonax hammondii
Melanerpes uropygialis
Actitis macularius
Tyrannus forficatus
Geothlypis philadelphia
Ardea herodias
Calidris mauri
Egretta rufescens
Bartramia longicauda
Rallus elegans
Dryobates albolarvatus
Melanerpes erythrocephalus
Corvus cryptoleucus
Picoides dorsalis
Platalea ajaja
Anas crecca
Setophaga americana
Ixoreus naevius
Lonchura punctulata
Pluvialis squatarola
Mergus merganser
Chlidonias niger
Sayornis nigricans
Baeolophus bicolor
Pinicola enucleator
Sayornis phoebe
Centronyx henslowii
Troglodytes aedon
Peucaea cassinii
Pheucticus melanocephalus
Setophaga virens
Callipepla californica
Calidris maritima
Phainopepla nitens
Setophaga kirtlandii
Asio flammeus
Branta bernicla
Rynchops niger
Buteogallus anthracinus
Sphyrapicus ruber
Corvus corax
Chordeiles minor
Melozone crissalis
Vermivora cyanoptera
Ammospiza caudacuta
Mareca strepera
Botaurus lentiginosus
Circus hudsonius
Chaetura vauxi
Patagioenas leucocephala
Branta canadensis
Quiscalus quiscula
Spatula discors
Sterna hirundo
Lampornis clemenciae
Alectoris chukar
Geothlypis trichas
Piranga olivacea
Larus fuscus
Mniotilta varia
Geranoaetus albicaudatus
Petrochelidon fulva
Toxostoma crissale
Baeolophus inornatus
Buteo brachyurus
Sturnella magna
Aythya valisineria
Sternula antillarum
Bubo scandiacus
Phalaenoptilus nuttallii
Arremonops rufivirgatus
Helmitheros vermivorum
Leiothlypis ruficapilla
Haematopus bachmani
Aechmophorus clarkii
Empidonax virescens
Numenius phaeopus
Alauda arvensis
Tachycineta thalassina
Setophaga dominica
Egretta tricolor
Geothlypis tolmiei
Calidris alpina
Strix varia
Tyrannus tyrannus
Sitta canadensis
Sterna forsteri
Colinus virginianus
Charadrius semipalmatus
Sitta pygmaea
Phalaropus tricolor
Larus occidentalis
Calidris alba
Charadrius melodus
Buteo lagopus
Vireo gilvus
Gymnorhinus cyanocephalus
Lophodytes cucullatus
Anas acuta
Tringa semipalmata
Aythya americana
Thryomanes bewickii
Parabuteo unicinctus
Icterus cucullatus
Empidonax traillii
Antigone canadensis
Empidonax wrightii
Baeolophus ridgwayi
Crotophaga sulcirostris
Haemorhous cassinii
Anthus rubescens
Buteo swainsoni
Larus glaucoides
Aegolius acadicus
Xanthocephalus xanthocephalus
Aphelocoma woodhouseii
Piranga flava
Cygnus buccinator
Pheucticus ludovicianus
Calypte costae
Selasphorus sasin
Egretta caerulea
Spatula cyanoptera
Aechmophorus occidentalis
Aythya affinis
Polysticta stelleri
Catharus minimus
Thalasseus sandvicensis
Columba livia
Oxyura jamaicensis
Dryobates scalaris
Myiarchus tuberculifer
Setophaga citrina
Eugenes fulgens
Euphagus cyanocephalus
Melozone fusca
Dendragapus fuliginosus
Toxostoma lecontei
Pica nuttalli
Sitta pusilla
Leiothlypis crissalis
Vireo solitarius
Buteo albonotatus
Sitta carolinensis
Haematopus palliatus
Spinus psaltria
Zonotrichia querula
Tympanuchus cupido
Pluvialis dominica
Charadrius vociferus
Aquila chrysaetos
Perisoreus canadensis
Coturnicops noveboracensis
Cygnus columbianus
Melospiza lincolnii
Calidris fuscicollis
Patagioenas flavirostris
Quiscalus major
Euphagus carolinus
Branta hutchinsii
Empidonax difficilis
Catherpes mexicanus
Peucaea aestivalis
Aphelocoma insularis
Setophaga nigrescens
Setophaga graciae
Seiurus aurocapilla
Cyanocitta stelleri
Sturnella neglecta
Ammospiza maritima
Lanius borealis
Peucaea carpalis
Pipilo erythrophthalmus
Gavia stellata
Dryobates villosus
Turdus grayi
Falco mexicanus
Calamospiza melanocorys
Sterna dougallii
Polioptila caerulea
Grus americana
Egretta thula
Toxostoma curvirostre
Icterus galbula
Passerina caerulea
Cardellina canadensis
Empidonax alnorum
Setophaga tigrina
Brotogeris versicolurus
Dryocopus pileatus
Gallinago delicata
Cepphus columba
Hydrocoloeus minutus
Leucophaeus pipixcan
Asio otus
Amphispiza bilineata
Streptopelia decaocto
Thryothorus ludovicianus
Icterus spurius
Chloroceryle americana
Oreoscoptes montanus
Passerina amoena
Bombycilla cedrorum
Empidonax flaviventris
Megaceryle alcyon
Tyrannus melancholicus
Dryobates borealis
Motacilla tschutschensis
Agelaius tricolor
Certhia americana
Plegadis chihi
Ammodramus savannarum
Icterus gularis
Vireo bellii
Camptostoma imberbe
Selasphorus platycercus
Meleagris gallopavo
Corvus brachyrhynchos
Cyanocitta cristata
Stercorarius parasiticus
Poecile gambeli
Lagopus leucura
Setophaga magnolia
Tachycineta bicolor
Accipiter cooperii
Acanthis hornemanni
Setophaga caerulescens
Dryobates pubescens
Oenanthe oenanthe
Aimophila ruficeps
Limosa lapponica
Chaetura pelagica
Rostrhamus sociabilis
Poecile sclateri
Rallus crepitans
Haliaeetus leucocephalus
Limnodromus griseus
