French Name,scientific_name,ABBR,class
Dendrocygne à ventre noir,Dendrocygna autumnalis,BBWD,1.0
Dendrocygne fauve,Dendrocygna bicolor,FUWD,1.0
Oie empereur,Anser canagicus,EMGO,2.0
Oie des neiges,Anser caerulescens,SNGO,1.0
Oie de Ross,Anser rossii,ROGO,1.0
Oie rieuse,Anser albifrons,GWFG,1.0
Bernache cravant,Branta bernicla,BRAN,1.0
Bernache de Hutchins,Branta hutchinsii,CACG,1.0
Bernache du Canada,Branta canadensis,CANG,1.0
Bernache néné,Branta sandvicensis,HAGO,2.0
Cygne tuberculé,Cygnus olor,MUSW,1.0
Cygne trompette,Cygnus buccinator,TRUS,1.0
Cygne siffleur,Cygnus columbianus,TUSW,1.0
Ouette d'Égypte,Alopochen aegyptiaca,EGGO,2.0
Canard musqué,Cairina moschata,MUDU,2.0
Canard branchu,Aix sponsa,WODU,1.0
Sarcelle à ailes bleues,Spatula discors,BWTE,1.0
Sarcelle cannelle,Spatula cyanoptera,CITE,1.0
Canard souchet,Spatula clypeata,NSHO,1.0
Canard chipeau,Mareca strepera,GADW,1.0
Canard siffleur,Mareca penelope,EUWI,2.0
Canard d'Amérique,Mareca americana,AMWI,1.0
Canard colvert,Anas platyrhynchos,MALL,1.0
Canard du Mexique,Anas diazi,MEDU,2.0
Canard noir,Anas rubripes,ABDU,1.0
Canard brun,Anas fulvigula,MODU,1.0
Canard pilet,Anas acuta,NOPI,1.0
Sarcelle d'hiver,Anas crecca,GWTE,1.0
Fuligule à dos blanc,Aythya valisineria,CANV,1.0
Fuligule à tête rouge,Aythya americana,REDH,1.0
Fuligule à collier,Aythya collaris,RNDU,1.0
Fuligule milouinan,Aythya marila,GRSC,1.0
Petit Fuligule,Aythya affinis,LESC,1.0
Eider de Steller,Polysticta stelleri,STEI,2.0
Eider à tête grise,Somateria spectabilis,KIEI,2.0
Eider à duvet,Somateria mollissima,COEI,1.0
Arlequin plongeur,Histrionicus histrionicus,HADU,1.0
Macreuse à front blanc,Melanitta perspicillata,SUSC,1.0
Macreuse à ailes blanches,Melanitta deglandi,WWSC,1.0
Macreuse à bec jaune,Melanitta americana,BLSC,1.0
Harelde kakawi,Clangula hyemalis,LTDU,1.0
Petit Garrot,Bucephala albeola,BUFF,1.0
Garrot à oeil d'or,Bucephala clangula,COGO,1.0
Garrot d'Islande,Bucephala islandica,BAGO,1.0
Harle couronné,Lophodytes cucullatus,HOME,1.0
Grand Harle,Mergus merganser,COME,1.0
Harle huppé,Mergus serrator,RBME,1.0
Érismature rousse,Oxyura jamaicensis,RUDU,1.0
Ortalide chacamel,Ortalis vetula,PLCH,2.0
Colin des montagnes,Oreortyx pictus,MOUQ,1.0
Colin de Virginie,Colinus virginianus,NOBO,1.0
Colin écaillé,Callipepla squamata,SCQU,1.0
Colin de Californie,Callipepla californica,CAQU,1.0
Colin de Gambel,Callipepla gambelii,GAQU,1.0
Colin arlequin,Cyrtonyx montezumae,MONQ,2.0
Dindon sauvage,Meleagris gallopavo,WITU,1.0
Gélinotte huppée,Bonasa umbellus,RUGR,1.0
Tétras du Canada,Falcipennis canadensis,SPGR,2.0
Lagopède à queue blanche,Lagopus leucura,WTPT,2.0
Tétras des armoises,Centrocercus urophasianus,GRSG,1.0
Tétras sombre,Dendragapus obscurus,DUGR,2.0
Tétras fuligineux,Dendragapus fuliginosus,SOGR,2.0
Tétras à queue fine,Tympanuchus phasianellus,STGR,2.0
Tétras des prairies,Tympanuchus cupido,GRPC,2.0
Perdrix grise,Perdix perdix,GRAP,2.0
Faisan de Colchide,Phasianus colchicus,RNEP,1.0
Paon bleu,Pavo cristatus,INPE,2.0
